X_m,Mach
7.76552781e-02,1.17589247e+00
7.81562775e-02,1.18653047e+00
7.86572769e-02,1.19629467e+00
7.91582763e-02,1.20609915e+00
7.96592757e-02,1.21594453e+00
8.01602751e-02,1.22583103e+00
8.06612745e-02,1.23575914e+00
8.11622739e-02,1.24572909e+00
8.16632733e-02,1.25574124e+00
8.21642727e-02,1.26579642e+00
8.26652721e-02,1.27589428e+00
8.31662714e-02,1.28603578e+00
8.36672708e-02,1.29562128e+00
8.41682702e-02,1.30480278e+00
8.46692696e-02,1.31402183e+00
8.51702690e-02,1.32327926e+00
8.56712684e-02,1.33257508e+00
8.61722678e-02,1.34190977e+00
8.66732672e-02,1.35128403e+00
8.71742666e-02,1.36069739e+00
8.76752660e-02,1.37015092e+00
8.81762654e-02,1.37964475e+00
8.86772648e-02,1.38917911e+00
8.91782641e-02,1.39875448e+00
8.96792635e-02,1.40837097e+00
9.01802629e-02,1.41703558e+00
9.06812623e-02,1.42546856e+00
9.11822617e-02,1.43393493e+00
9.16832611e-02,1.44243562e+00
9.21842605e-02,1.45097053e+00
9.26852599e-02,1.45954001e+00
9.31862593e-02,1.46814430e+00
9.36872587e-02,1.47678387e+00
9.41882581e-02,1.48545873e+00
9.46892574e-02,1.49416959e+00
9.51902568e-02,1.50291622e+00
9.56912562e-02,1.51169932e+00
9.61922556e-02,1.52051914e+00
9.66932550e-02,1.52937591e+00
9.71942544e-02,1.53827024e+00
9.76952538e-02,1.54681075e+00
9.81962532e-02,1.55441666e+00
9.86972526e-02,1.56205142e+00
9.91982520e-02,1.56971538e+00
9.96992514e-02,1.57740831e+00
1.00200251e-01,1.58513117e+00
1.00701250e-01,1.59288335e+00
1.01202250e-01,1.60066509e+00
1.01703249e-01,1.60847759e+00
1.02204248e-01,1.61632037e+00
1.02705248e-01,1.62419355e+00
1.03206247e-01,1.63209772e+00
1.03707246e-01,1.64003301e+00
1.04208246e-01,1.64799964e+00
1.04709245e-01,1.65599799e+00
1.05210245e-01,1.66402805e+00
1.05711244e-01,1.67209029e+00
1.06212243e-01,1.68018496e+00
1.06713243e-01,1.68778801e+00
1.07214242e-01,1.69476235e+00
1.07715242e-01,1.70176196e+00
1.08216241e-01,1.70878696e+00
1.08717240e-01,1.71583748e+00
1.09218240e-01,1.72291374e+00
1.09719239e-01,1.73001587e+00
1.10220239e-01,1.73714399e+00
1.10721238e-01,1.74429858e+00
1.11222237e-01,1.75147951e+00
1.11723237e-01,1.75868726e+00
1.12224236e-01,1.76592171e+00
1.12725236e-01,1.77318335e+00
1.13226235e-01,1.78047228e+00
1.13727234e-01,1.78778887e+00
1.14228234e-01,1.79513311e+00
1.14729233e-01,1.80250514e+00
1.15230232e-01,1.80990541e+00
1.15731232e-01,1.81733358e+00
1.16232231e-01,1.82427895e+00
1.16733231e-01,1.83080888e+00
1.17234230e-01,1.83736181e+00
1.17735229e-01,1.84393728e+00
1.18236229e-01,1.85053635e+00
1.18737228e-01,1.85715818e+00
1.19238228e-01,1.86380351e+00
1.19739227e-01,1.87047243e+00
1.20240226e-01,1.87716496e+00
1.20741226e-01,1.88388133e+00
1.21242225e-01,1.89062202e+00
1.21743225e-01,1.89738679e+00
1.22244224e-01,1.90417576e+00
1.22745223e-01,1.91098928e+00
1.23246223e-01,1.91782773e+00
1.23747222e-01,1.92469108e+00
1.24248222e-01,1.93157935e+00
1.24749221e-01,1.93849301e+00
1.25250220e-01,1.94543195e+00
1.25751227e-01,1.95191789e+00
1.26252234e-01,1.95807397e+00
1.26753241e-01,1.96425068e+00
1.27254248e-01,1.97044802e+00
1.27755255e-01,1.97666657e+00
1.28256261e-01,1.98290622e+00
1.28757268e-01,1.98916686e+00
1.29258275e-01,1.99544907e+00
1.29759282e-01,2.00175261e+00
1.30260289e-01,2.00807738e+00
1.30761296e-01,2.01442432e+00
1.31262302e-01,2.02079296e+00
1.31763309e-01,2.02718401e+00
1.32264316e-01,2.03359723e+00
1.32765323e-01,2.04003310e+00
1.33266330e-01,2.04649067e+00
1.33767337e-01,2.05297136e+00
1.34268343e-01,2.05947518e+00
1.34769350e-01,2.06577969e+00
1.35270357e-01,2.07161546e+00
1.35771364e-01,2.07747054e+00
1.36272371e-01,2.08334446e+00
1.36773378e-01,2.08923721e+00
1.37274384e-01,2.09514928e+00
1.37775391e-01,2.10108066e+00
1.38276398e-01,2.10703158e+00
1.38777405e-01,2.11300206e+00
1.39278412e-01,2.11899161e+00
1.39779419e-01,2.12500167e+00
1.40280426e-01,2.13103151e+00
1.40781432e-01,2.13708138e+00
1.41282439e-01,2.14315176e+00
1.41783446e-01,2.14924169e+00
1.42284453e-01,2.15535307e+00
1.42785460e-01,2.16148472e+00
1.43286467e-01,2.16721439e+00
1.43787473e-01,2.17286086e+00
1.44288480e-01,2.17852569e+00
1.44789487e-01,2.18420792e+00
1.45290494e-01,2.18990898e+00
1.45791501e-01,2.19562793e+00
1.46292508e-01,2.20136428e+00
1.46793514e-01,2.20712018e+00
1.47294521e-01,2.21289396e+00
1.47795528e-01,2.21868634e+00
1.48296535e-01,2.22449756e+00
1.48797542e-01,2.23032737e+00
1.49298549e-01,2.23617649e+00
1.49799556e-01,2.24204421e+00
1.50300562e-01,2.24765348e+00
1.50801569e-01,2.25321174e+00
1.51302576e-01,2.25878811e+00
1.51803583e-01,2.26438141e+00
1.52304590e-01,2.26999283e+00
1.52805597e-01,2.27562141e+00
1.53306603e-01,2.28126836e+00
1.53807610e-01,2.28693247e+00
1.54308617e-01,2.29261518e+00
1.54809624e-01,2.29831600e+00
1.55310631e-01,2.30403471e+00
1.55811638e-01,2.30970168e+00
1.56312644e-01,2.31521797e+00
1.56813651e-01,2.32075143e+00
1.57314658e-01,2.32630253e+00
1.57815665e-01,2.33187008e+00
1.58316672e-01,2.33745551e+00
1.58817679e-01,2.34305930e+00
1.59318686e-01,2.34868002e+00
1.59819692e-01,2.35431862e+00
